order,family,genus,species,brain_mass,body_mass,common_name
Rodentia,Caviidae,Cavia,porcellus,4.83,476,Domesticated Guinea Pig
Rodentia,Heteromyidae,Chaetodipus,spinatus,0.48,19.1,Spiny Pocket Mouse
Rodentia,Heteromyidae,Perognathus,parvus,0.49,17.3,Great Basin Pocket Mouse
Rodentia,Heteromyidae,Chaetodipus,fallax,0.54,20.3,San Diego Pocket Mouse
Rodentia,Heteromyidae,Microdipodops,pallidus,0.55,12.9,Pale Kangaroo Mouse
Rodentia,Heteromyidae,Liomys,irroratus,1.06,57.7,Mexican Spiny Pocket Mouse
Rodentia,Heteromyidae,Dipodomys,panamintinus,1.6,74,Panamint Kangaroo Rat
Rodentia,Geomyidae,Geomys,pinetis,2.51,313.5,Southeastern Pocket Gopher
Rodentia,Geomyidae,Orthogeomys,cherriei,3.47,405,Cherrie s Pocket Gopher.
Rodentia,Geomyidae,Zygogeomys,trichopus,3.95,545,Michoacan Pocket Gopher
Rodentia,Geomyidae,Cratogeomys,fumosus,4.19,637,Smoky Pocket Gopher
Rodentia,Geomyidae,Orthogeomys,heterodus,4.31,630,Variable Pocket Gopher
Rodentia,Muridae,Apodemus,agrarius,0.2,33.3,Striped Field Mouse
Rodentia,Muridae,Mus,musculus,0.4,15.1,Eastern house mouse
Rodentia,Dipodidae,Zapus,trinotatus,0.5,27.5,Pacific Jumping Mouse
Rodentia,Cricetidae,Akodon,azarae,0.642,25,Azara s Akodont
Rodentia,Cricetidae,Cricetulus,barabensis,0.6699,29.89,Striped Dwarf Hamster
Rodentia,Cricetidae,Ochrotomys,nuttalli,0.7,20.6,Golden Mouse
Rodentia,Muridae,Acomys,cahirinus,0.7,31,Northeast African Spiny Mouse
Rodentia,Muridae,Mastomys,natalensis,0.719,46.026,Coucha Rat
Rodentia,Cricetidae,Mesocricetus,auratus,1,120,Golden Hamster
Rodentia,Muridae,Psammomys,obesus,1.3,69.1,Fat Sand Rat
Rodentia,Muridae,Rattus,rattus,1.4,150,Black Rat
Rodentia,Cricetidae,Lemmus,sibiricus,1.49,70,Black-footed Lemming
Rodentia,Cricetidae,Holochilus,chacarius,1.61,204,Chaco Marsh Rat
Rodentia,Sciuridae,Tamias,cinereicollis,1.8,61.7,Gray-collared Chipmunk
Rodentia,Gliridae,Glis,glis,1.9,148,Edible dormouse
Rodentia,Octodontidae,Octodon,degus,2.1,210,Degu
Rodentia,Cricetidae,Cricetus,cricetus,2.2,297,Black-bellied Hamster
Rodentia,Geomyidae,Thomomys,bulbivorus,2.2,344,Camas Pocket Gopher
Rodentia,Dipodidae,Jaculus,orientalis,2.5,98,Greater Egyptian Jerboa
Rodentia,Echimyidae,Mesomys,hispidus,2.64,175,Ferreira s Spiny Tree-rat
Rodentia,Echimyidae,Proechimys,brevicauda,2.95,285,Short-tailed Spiny-rat
Rodentia,Spalacidae,Spalax,leucodon,3,122,Lesser Blind Mole Rat
Rodentia,Echimyidae,Makalata,didelphoides,3.45,108,Brazilian spiny tree-rat
Rodentia,Dipodidae,Allactaga,sibirica,3.5,193,Mongolian Five-toed Jerboa
Rodentia,Echimyidae,Clyomys,laticeps,3.52,201,Broad-headed Spiny Rat
Rodentia,Echimyidae,Makalata,macrura,3.89,439,Long-tailed Armored Tree-rat
Rodentia,Geomyidae,Orthogeomys,hispidus,3.98,542.1,Hispid Pocket Gopher
Rodentia,Echimyidae,Echimys,chrysurus,5.02,652,White-faced Spiny Tree-rat
Rodentia,Chinchillidae,Chinchilla,lanigera,6.8,372,Long-tailed Chinchilla
Rodentia,Muridae,Rattus,norvegicus,8.03,359.5,Brown Rat
Rodentia,Sciuridae,Ratufa,indica,11.4,1935,Indian Giant Squirrel
Rodentia,Erethizontidae,Sphiggurus,vestitus,11.71,736,Brown Hairy Dwarf Porcupine
Rodentia,Hystricidae,Trichys,fasciculata,13.05,1560,Long-tailed Porcupine
Rodentia,Chinchillidae,Lagidium,viscacia,15.08,2460.5,Southern Moutain Viscacha
Rodentia,Caviidae,Dolichotis,salinicola,15.31,1600,Chacoan Mara
Rodentia,Erethizontidae,Coendou,prehensilis,16.73,4400,Brazilian Porcupine
Rodentia,Erethizontidae,Coendou,rothschildi,20.85,2000,Rothchild s Porcupine
Rodentia,Dasyproctidae,Dasyprocta,leporina,21.26,2873,Brazilian agouti
Rodentia,Dasyproctidae,Dasyprocta,prymnolopha,21.62,2900,Black-rumped Agouti
Rodentia,Hystricidae,Atherurus,africanus,21.89,3152.5,African Brush-tailed Porcupine
Rodentia,Hystricidae,Hystrix,sumatrae,27.04,3260,Sumatran Porcupine
